(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Zwischenergebnis;;;;;;;;;;;;;;;
Stand:;23.02.2025;21:50;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;FREIE WÄHLER;9;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;Volt;10;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;MLPD;11;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Partei;BSW;13;2;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;14;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;1;;;;;;;;
BT;23.02.2025;Land;01;Schleswig-Holstein;BUND;99;System-Gruppe;Übrige;1000;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wahlberechtigte;-4;;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Wählende;-3;;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Ungültige;-2;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Gültige;-1;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;SPD;1;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;AfD;2;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;CDU;3;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die Linke;4;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FDP;5;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;GRÜNE;6;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Tierschutzpartei;7;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;2;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;13;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Übrige;1000;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Übrige;1000;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Wahlberechtigte;-4;;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Wählende;-3;;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Ungültige;-2;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Ungültige;-2;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Gültige;-1;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Gültige;-1;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;SPD;1;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;SPD;1;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;GRÜNE;2;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;GRÜNE;2;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;CDU;3;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;CDU;3;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;FDP;4;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;FDP;4;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Die Linke;5;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Die Linke;5;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;AfD;6;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;AfD;6;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Tierschutzpartei;7;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Tierschutzpartei;7;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Die PARTEI;8;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Die PARTEI;8;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;FREIE WÄHLER;9;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;FREIE WÄHLER;9;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Volt;10;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;Volt;10;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;MLPD;11;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;MLPD;11;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;12;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;BSW;13;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;Partei;BSW;13;2;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Übrige;1000;1;;;;;;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Übrige;1000;2;;;;;;;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Wahlberechtigte;-4;;764339;;767466;;-0,407445;;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Wählende;-3;;639731;83,697286;575805;75,026776;11,102022;8,67051;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Ungültige;-2;1;4556;0,712174;6480;1,125381;-29,691358;-0,413207;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Ungültige;-2;2;3232;0,505212;4647;0,807044;-30,449753;-0,301832;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Gültige;-1;1;635175;99,287826;569325;98,874619;11,566329;0,413207;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;System-Gruppe;Gültige;-1;2;636499;99,494788;571158;99,192956;11,440092;0,301832;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;SPD;1;1;193086;30,398866;204598;35,936943;-5,626643;-5,538076;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;SPD;1;2;150087;23,580084;196797;34,45579;-23,735118;-10,875706;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;CDU;2;1;191821;30,199709;159491;28,014052;20,270736;2,185657;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;CDU;2;2;173230;27,216068;129982;22,757626;33,272299;4,458442;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;GRÜNE;3;1;62244;9,799504;86883;15,260703;-28,358827;-5,461199;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;GRÜNE;3;2;73111;11,486428;91483;16,017109;-20,08242;-4,530681;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;FDP;4;1;17444;2,74633;47001;8,255566;-62,885896;-5,509236;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;FDP;4;2;24748;3,888144;59702;10,452799;-58,547452;-6,564655;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;AfD;5;1;112298;17,679852;29021;5,09744;286,954274;12,582412;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;AfD;5;2;116339;18,277955;41692;7,299556;179,043941;10,978399;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;Die Linke;6;1;39837;6,271815;18608;3,268432;114,08534;3,003383;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;Die Linke;6;2;50387;7,916273;19220;3,365093;162,159209;4,55118;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;Tierschutzpartei;7;1;4303;0,677451;4162;0,731041;3,387794;-0,05359;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;Tierschutzpartei;7;2;7868;1,236137;7556;1,322926;4,129169;-0,086789;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;dieBasis;8;1;1524;0,239934;8838;1,552365;-82,75628;-1,312431;;
BT;23.02.2025;Land;03;Niedersachsen;BUND;99;Partei;dieBasis;8;2;1816;0,285311;6633;1,161325;-72,62174;-0,876014;;
